Depth (m),Density (g/cc),DTCO (us/ft),DTSM (us/ft),Vp(0) (m/s),Vs(0) (m/s),v_iso_d,E_iso_d (Mpsi),Ev_d (Mpsi),Eh_d (Mpsi),vv_d,vh_d,Porosity,C11,C12,C13,C33,C44,Min Stress,Max Stress
4059.13,2.48,68.26,131.1,4464.96,2324.89,0.31,5.1,5.28,7.18,0.26,0.29,0.112872,9.631321196,4.060711225,3.592145268,7.16120793,1.941587972,9182.359379,11179.96026
4059.25,2.46,71.07,137.81,4288.98,2211.76,0.32,4.6,4.76,6.64,0.27,0.29,0.126309996,9.005938983,3.851860634,3.402509052,6.557117611,1.74373511,9326.109149,11323.77155
4059.38,2.42,73.54,145.16,4144.96,2099.72,0.33,4.11,4.27,6.1,0.27,0.29,0.139997997,8.448290523,3.717861265,3.282934788,6.039418452,1.549798896,9531.183401,11528.90732
4059.5,2.4,75.57,149.26,4033.17,2042.04,0.33,3.86,4,5.82,0.27,0.29,0.150483999,8.052601307,3.536213459,3.111905382,5.67084994,1.453720759,9574.375485,11572.16092
4059.63,2.41,76.87,147.88,3964.92,2061.18,0.31,3.9,4.01,5.87,0.26,0.28,0.154820004,7.876394562,3.290867686,2.875373388,5.494233201,1.484807084,9363.818676,11361.66563
4059.75,2.43,75.99,143.18,4010.85,2128.75,0.3,4.17,4.27,6.17,0.25,0.28,0.156268005,8.088015882,3.247591893,2.828415722,5.678265501,1.599535702,9154.738435,11152.6469
4059.88,2.46,73.22,138.17,4162.87,2206,0.3,4.53,4.65,6.57,0.25,0.28,0.159155998,8.627861842,3.488286667,3.052129605,6.182226856,1.736075079,9118.355282,11116.32526
4060,2.5,70.13,134.19,4346.36,2271.49,0.31,4.92,5.07,7.01,0.26,0.29,0.164216003,9.355899545,3.905945606,3.444094126,6.859817844,1.873625487,9188.124759,11186.15625
4060.13,2.5,67.78,131.13,4496.8,2324.43,0.32,5.17,5.36,7.27,0.27,0.29,0.171208,9.839775932,4.210008203,3.732987093,7.342915671,1.961977475,9240.785473,11238.87848
4060.25,2.5,66.45,128.45,4587.17,2372.96,0.32,5.38,5.59,7.49,0.27,0.29,0.178920002,10.12820034,4.335666011,3.84963014,7.634903682,2.043123895,9206.506509,11204.66104
4060.38,2.49,66.2,125.96,4604.21,2419.78,0.31,5.54,5.73,7.64,0.26,0.29,0.182287998,10.13978083,4.209748146,3.723188775,7.65791522,2.11519976,9057.184779,11055.40082
4060.5,2.47,66.69,123.53,4570.46,2467.45,0.29,5.65,5.8,7.74,0.25,0.28,0.181683998,9.94824143,3.89890892,3.417565115,7.485449155,2.181702619,8811.572528,10809.85009
4060.63,2.46,67.14,121.44,4539.46,2509.93,0.28,5.76,5.88,7.85,0.24,0.27,0.178551998,9.815747578,3.635802434,3.156282829,7.360328325,2.250150508,8581.629108,10579.96818
4060.75,2.46,67.27,120.71,4531.22,2525.1,0.27,5.8,5.91,7.88,0.23,0.27,0.174456005,9.773274399,3.5493635,3.070223463,7.321713901,2.273732757,8503.106191,10501.50678
4060.88,2.45,67.79,121.67,4496.44,2505.17,0.27,5.68,5.78,7.75,0.23,0.27,0.171079998,9.614570689,3.491609271,3.019579045,7.174567458,2.227052543,8516.161763,10514.62387
4061,2.43,68.86,123.22,4426.41,2473.62,0.27,5.5,5.59,7.56,0.23,0.26,0.168671989,9.343046782,3.362899475,2.902087079,6.915856057,2.159774012,8506.093124,10504.61675
4061.13,2.43,69.1,123.47,4411.07,2468.61,0.27,5.47,5.55,7.52,0.23,0.26,0.169155998,9.283637109,3.328262413,2.869778151,6.859524258,2.148381207,8495.862643,10494.44778
4061.25,2.44,68.21,122.76,4468.62,2482.98,0.28,5.57,5.68,7.64,0.23,0.27,0.169752007,9.506734039,3.474197868,3.007276683,7.071549379,2.183308723,8553.402718,10552.04937
4061.38,2.45,67.38,122.54,4523.31,2487.34,0.28,5.66,5.78,7.73,0.24,0.27,0.16969799,9.735960277,3.653452382,3.178372536,7.287278605,2.20355632,8644.061998,10642.77017
4061.5,2.47,66.88,122.46,4557.35,2488.88,0.29,5.73,5.86,7.82,0.24,0.28,0.170249996,9.921662761,3.78662542,3.304513794,7.454603836,2.223352583,8703.529765,10702.29945
4061.63,2.48,66.58,122.04,4578.03,2497.47,0.29,5.78,5.93,7.89,0.24,0.28,0.170674,10.01729858,3.834252045,3.34823806,7.543714168,2.245060352,8708.445013,10707.27621
4061.75,2.48,66.68,122.2,4571.31,2494.24,0.29,5.77,5.91,7.87,0.24,0.28,0.170587997,9.991276598,3.822251533,3.337288665,7.518532578,2.238354551,8708.964036,10707.85675
4061.88,2.48,66.66,122.87,4572.4,2480.58,0.29,5.71,5.86,7.8,0.24,0.28,0.170935993,9.978735365,3.868213231,3.384776359,7.510004476,2.210338401,8765.914562,10764.86879
4062,2.47,66.16,123.51,4607.26,2467.78,0.3,5.67,5.84,7.76,0.25,0.28,0.17089201,10.07646964,4.021080664,3.535779101,7.612633648,2.184050129,8880.425296,10879.44104
4062.13,2.47,66.22,123.68,4602.57,2464.38,0.3,5.66,5.82,7.75,0.25,0.28,0.167859993,10.0570493,4.016101177,3.531621067,7.594074993,2.177153513,8885.576749,10884.65401
4062.25,2.48,67.56,122.85,4511.81,2481.01,0.28,5.67,5.8,7.77,0.24,0.27,0.172083988,9.782070651,3.670045357,3.192407222,7.312297324,2.211093426,8649.470107,10648.60889
4062.38,2.47,69.18,122.33,4406.01,2491.56,0.26,5.63,5.7,7.72,0.22,0.26,0.178521996,9.41664324,3.284495489,2.817583269,6.953662791,2.223640678,8389.123396,10388.32369
4062.5,2.45,70.47,124.11,4325,2455.86,0.26,5.42,5.49,7.5,0.22,0.26,0.186270008,9.110088094,3.138036021,2.68384144,6.662319053,2.148132933,8369.824933,10369.08674
4062.63,2.45,71.69,129.03,4251.37,2362.23,0.28,5.06,5.13,7.11,0.23,0.26,0.178073998,8.850427197,3.221632142,2.78020702,6.413801043,1.980173601,8624.460114,10623.78344
4062.75,2.44,72.88,136.25,4182.09,2237.09,0.3,4.61,4.72,6.64,0.25,0.28,0.12033,8.629543105,3.42272774,2.988496591,6.198849105,1.773751516,9028.574941,11027.95978
4062.88,2.45,73.96,142.71,4121.27,2135.79,0.32,4.27,4.41,6.29,0.26,0.28,0.114642,8.481834569,3.57939088,3.144777369,6.04451145,1.623361947,9345.78748,11345.23384
4063,2.44,75.35,144.89,4045.39,2103.67,0.31,4.12,4.24,6.13,0.26,0.28,0.108365994,8.222542123,3.440733011,3.013976354,5.800229157,1.568488806,9340.765578,11340.27345
